par,coef
poland,0.38628693351990046
slovenia,0.19720176833855613
estonia,0.15584271162075602
czech_republic,0.14069172617051603
norway,0.06823298133110017
belgium,0.05174387901917248
slovakia,1.9569290144163214e-16
spain,1.5477180719895867e-16
finland,5.182342389144123e-17
netherlands,4.8440863078391075e-17
latvia,1.589371750274136e-17
hungary,6.3498843494352646e-18
austria,0
bulgaria,0
denmark,0
france,0
greece,0
lithuania,0
luxembourg,0
portugal,0
romania,0
