metric,mwh,value,twh
Estimated cumulative effect,13035382.402065044,NA,13.035382402065045
Estimated median effect,1165887.7375586936,NA,1.1658877375586936
Estimated mean effect,1086281.8668387537,NA,1.0862818668387537
p-value,NA,0.8181818181818182,NA
