type,Actual,Pred,Pred.lower,Pred.upper,Pred.sd,AbsEffect,AbsEffect.lower,AbsEffect.upper,AbsEffect.sd,RelEffect,RelEffect.lower,RelEffect.upper,RelEffect.sd,alpha,p
Average,15196373.354166666,15011464.888801455,14112856.900714701,15967522.198655546,452443.2186516909,184908.46536521055,-771148.8444888814,1083516.4534519678,452443.218651691,0.013857344985854184,-0.04829448821898105,0.0767752942426233,0.030662366861872542,0.05,0.31149193548387094
Cumulative,182356480.25,180137578.66561744,169354282.8085764,191610266.38386655,5429318.623820289,2218901.584382564,-9253786.133866576,13002197.441423614,5429318.62382029,0.013857344985854184,-0.04829448821898105,0.0767752942426233,0.030662366861872542,0.05,0.31149193548387094
