mth,country,category_group,mwh
2015-02-01,slovenia,nuclear,397651
2015-02-01,slovenia,renewable_ex_nuclear,226959
2015-02-01,spain,fossil,5412901
2015-02-01,spain,nuclear,4008670
2015-02-01,spain,other,47521
2015-02-01,spain,renewable_ex_nuclear,9836665
2015-02-01,sweden,nuclear,4260134
2015-02-01,sweden,other,864661
2015-02-01,sweden,renewable_ex_nuclear,6561780
2015-02-01,switzerland,fossil,4571
2015-02-01,switzerland,renewable_ex_nuclear,4411
2015-03-01,austria,fossil,1188259
2015-03-01,austria,other,232192
2015-03-01,austria,renewable_ex_nuclear,2596435.75
2015-03-01,belgium,fossil,1720064
2015-03-01,belgium,nuclear,2023333
2015-03-01,belgium,other,426088
2015-03-01,belgium,renewable_ex_nuclear,1038615
2015-03-01,bulgaria,fossil,1600319
2015-03-01,bulgaria,nuclear,1340545
2015-03-01,bulgaria,renewable_ex_nuclear,917595
2015-03-01,czech_republic,fossil,3413288
2015-03-01,czech_republic,nuclear,2303042
2015-03-01,czech_republic,other,55179
2015-03-01,czech_republic,renewable_ex_nuclear,926986
2015-03-01,denmark,fossil,1087632
2015-03-01,denmark,renewable_ex_nuclear,967499
2015-03-01,estonia,fossil,508431
2015-03-01,estonia,renewable_ex_nuclear,103273
2015-03-01,finland,fossil,1428836
2015-03-01,finland,nuclear,1779620
2015-03-01,finland,other,141448
2015-03-01,finland,renewable_ex_nuclear,1830116
2015-03-01,france,fossil,3639258
2015-03-01,france,nuclear,32001607
2015-03-01,france,renewable_ex_nuclear,8061630
2015-03-01,germany,fossil,18297627.25
2015-03-01,germany,nuclear,6348875.5
2015-03-01,germany,other,4281024.75
2015-03-01,germany,renewable_ex_nuclear,14059476
2015-03-01,greece,fossil,1627848
2015-03-01,greece,renewable_ex_nuclear,1027399
2015-03-01,hungary,fossil,731172.25
2015-03-01,hungary,nuclear,1236439.5
2015-03-01,hungary,other,65870.75
2015-03-01,hungary,renewable_ex_nuclear,148184.75
2015-03-01,ireland,fossil,1203521
2015-03-01,ireland,other,1328
2015-03-01,ireland,renewable_ex_nuclear,686622
2015-03-01,italy,renewable_ex_nuclear,42484
2015-03-01,latvia,fossil,73540
